Rank,Name,Revenue,Revenue in percentage,Profit,Profit in percentage,Assets,employees,years on global 500 list
463,Rajesh Exports,33944.1,-0.198,40.5,-0.773,2648.4,141,9
464,British American Tobacco,33907.4,-0.006,-17855.4,-3.173,151307.7,49839,27
465,CPC,33903.7,-0.14,-656.7,-3.173,34350.3,17142,23
466,Bank of New York (BNY),33805.0,0.691,3286.0,0.27699999999999997,409953.0,53400,1
467,Tongwei Group,33731.3,0.055999999999999994,593.9,-0.637,25094.0,58329,2
468,Netflix,33723.3,0.067,5408.0,0.204,48732.0,13000,4
469,Novo Nordisk,33703.8,0.34700000000000003,12143.4,0.547,46607.1,63845,1
470,Shougang Group,33621.3,-0.08800000000000001,343.8,0.821,74249.4,83509,13
471,Shanxi Coking Coal Group,33533.2,-0.195,1252.5,2.526,73316.4,214937,11
472,Guangxi Investment Group,33428.1,0.069,68.1,-0.18899999999999997,113540.5,32241,5
473,VTB Bank,33420.2,0.731,4936.4,-0.18899999999999997,327759.9,76100,4
474,Mazda Motor,33403.0,0.182,1437.1,0.36200000000000004,25074.5,48685,28
475,Hunan Iron & Steel Group,33344.8,0.019,834.0,-0.29100000000000004,24473.1,36114,3
476,Power Corp. of Canada,33264.8,-0.111,1665.3,0.10300000000000001,568475.4,40300,26
477,Truist Financial,33246.0,0.311,-1091.0,-1.1740000000000002,535349.0,49935,2
478,Siemens Energy,33184.9,0.057999999999999996,-4832.9,-1.1740000000000002,50695.2,94000,4
479,Schlumberger,33135.0,0.18,4203.0,0.221,47957.0,111000,21
480,Ecopetrol,33126.5,-0.11800000000000001,4872.4,-0.345,72404.2,19657,7
481,Arrow Electronics,33107.1,-0.10800000000000001,903.5,-0.36700000000000005,21726.2,22100,11
482,Jerónimo Martins,33089.1,0.239,817.3,0.317,15790.8,134379,1
483,China National Aviation Fuel Group,32984.2,0.042,98.8,-0.759,10700.0,13694,13
484,Commonwealth Bank of Australia,32980.5,0.502,6788.5,-0.131,834520.1,49454,18
485,Centrica,32882.1,0.12300000000000001,4883.0,-0.131,27231.7,21014,25
486,Linde,32854.0,-0.015,6199.0,0.495,80811.0,66323,5
487,Heineken,32823.1,0.087,1269.2,-0.102,60479.4,89732,15
488,Luxshare Precision Industry,32758.5,0.03,1547.2,0.136,22822.9,232585,2
489,3M,32681.0,-0.045,-6995.0,-2.211,50580.0,85000,30
490,Visa,32653.0,0.114,17273.0,0.155,90499.0,28800,1
491,Apollo Global Management,32644.0,1.808,5047.0,0.155,313488.0,6855,1
492,Emirates Group,32637.9,0.122,4692.1,0.627,44635.3,112406,5
493,Vibra Energia,32634.1,-0.07200000000000001,954.5,2.205,8961.3,3526,2
494,Metro,32579.2,0.012,468.1,2.205,12325.9,81834,7
495,Subaru,32540.1,0.16699999999999998,2664.4,0.799,31835.4,37693,20
496,Air France-KLM Group,32452.3,0.16899999999999998,1009.7,0.319,38093.7,76271,25
497,Enbridge,32349.5,-0.21,4588.3,0.988,136769.6,12450,11
498,ABB,32235.0,0.095,3745.0,0.513,40940.0,107900,29
499,Mitsubishi Heavy Industries,32223.2,0.038,1536.2,0.594,41371.9,77697,30
500,Samsung C&T,32077.9,-0.040999999999999995,1698.5,0.073,51046.8,18685,8
